;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
3571;BBG000P1K2X6;GTLS;Chart Industries Inc;2017-10-10;55.85;0;1;sma;0;usd
3572;BBG000BGRY34;CVS;CVS Health Corporation;2017-10-11;74.01;1;0;sma;0;usd
3573;BBG000R2YFG7;BAH;Booz Allen Hamilton;2017-10-11;37.8861;0;1;sma;0;usd
3574;BBG003LYCMB1;SFIN;ЭсЭфАй;2017-10-11;739.5;1;0;sma;0;rub
3575;BBG000BTVJ25;SYY;Sysco;2017-10-12;60.28;0;1;sma;0;usd
3576;BBG000C3J3C9;CSCO;Cisco;2017-10-12;42.94;0;1;sma;0;usd
3577;BBG000BJ3PD2;ETN;Eaton Corporation;2017-10-12;82.28;0;1;sma;0;usd
3578;BBG007FL7ZD2;FLOW;SPX FLOW Inc;2017-10-13;44.45;0;1;sma;0;usd
3579;BBG000DYGNW7;MCK;McKesson;2017-10-13;151.34;1;0;sma;0;usd
3580;BBG000G7QX50;PINC;Premier Inc;2017-10-16;33.15;1;0;sma;0;usd
3581;BBG000BKTXF2;BECN;Beacon Roofing Supply Inc;2017-10-16;52.91;0;1;sma;0;usd
3582;BBG000CDMJW6;CALM;Cal-Maine Foods Inc;2017-10-17;41.7625;0;1;sma;0;usd
3583;BBG000H8TVT2;TGT;Target;2017-10-18;74.13;0;1;sma;0;usd
3584;BBG000GPXKX9;FLT;FleetCor Technologies Inc;2017-10-18;201.45;0;1;sma;0;usd
3585;BBG000BTCH57;CHRW;C.H. Robinson Worldwide;2017-10-19;89.78;0;1;sma;0;usd
3586;BBG000BX3BL3;WY;Weyerhaeuser REIT;2017-10-19;34.01;0;1;sma;0;usd
3587;BBG000BDJL83;FDS;FactSet Research Systems Inc;2017-10-19;205.442;0;1;sma;0;usd
3588;BBG000PSXT64;CPS;Cooper-Standard Holdings Inc;2017-10-19;115.98;0;1;sma;0;usd
3589;BBG000BMWKC5;KMT;Kennametal Inc;2017-10-19;41.0889;0;1;sma;0;usd
3590;BBG000BCZL41;VRSK;Verisk Analytics;2017-10-20;104.27;0;1;sma;0;usd
3591;BBG000BQQH30;COP;ConocoPhillips;2017-10-20;54.11;0;1;sma;0;usd
3592;BBG000C6CFJ5;GS;Goldman Sachs;2017-10-20;258.12;0;1;sma;0;usd
3593;BBG000BRBX66;PLXS;Plexus Corp;2017-10-20;62.54;0;1;sma;0;usd
3594;BBG000Q3JN03;RF;Regions Financial;2017-10-23;19.32;0;1;sma;0;usd
3595;BBG000BS5DR2;RHI;Robert Half;2017-10-23;59.87;0;1;sma;0;usd
3596;BBG000BL79J3;URBN;Urban Outfitters;2017-10-23;37.11;0;1;sma;0;usd
3597;BBG000BFT2L4;CMCSA;Comcast;2017-10-23;36.35;1;0;sma;0;usd
3598;BBG004731032;LKOH;ЛУКОЙЛ;2017-10-23;3838.5;0;1;sma;0;rub
