;amount_of_sma_rows
BBG001CGB489;1983
BBG000QF05R6;186
BBG005GBRSR6;461
BBG000BVTPQ3;57
BBG000BWSGF4;325
BBG000BKZB36;2432
BBG000H3GDJ8;323
BBG006F8QZK4;0
BBG000J1QLT0;2432
BBG000R466J1;1471
BBG000BWBW76;326
BBG001WMKHH5;276
BBG000BL6CB5;223
BBG00KHRRDX3;462
BBG000BTR593;2432
BBG00B6F2F09;44
BBG000GQGJT4;462
BBG00B6G8077;0
BBG000G7B4C2;18
BBG007NLG4L3;1491
BBG000QDVR53;2450
BBG000BP6LJ8;2433
BBG001B17MV2;1741
BBG00ZXBJ153;87
BBG000BBRPL4;325
BBG0026ZDDQ0;0
BBG007HWGYQ5;0
BBG0073F9RT7;1537
BBG000BN3P07;223
BBG00R45JYB7;1211
BBG000BMSRR9;0
BBG00HDGRHH7;276
BBG00441QMJ7;549
BBG000G3TQV2;276
BBG000BT0T72;186
BBG006HFPX77;52
BBG000C060M4;2432
BBG000BKJG33;462
BBG000BJTZX0;276
BBG002832GV8;2194
BBG000FVXD63;2432
BBG000DKCC19;2432
BBG000KTYB56;2432
BBG000CF5097;2432
BBG000BG88X9;2432
BBG00GBVBK51;470
BBG000C2LZP3;223
BBG000BC3BJ2;184
BBG007KC7PB0;462
BBG001KY3845;2381
BBG000CZTB66;276
BBG000F1ZSN5;2432
BBG000BLV2Q3;186
BBG000BN5HF7;2432
BBG000B9X8C0;2432
BBG000DR5QP5;2432
BBG000BN1M88;324
BBG000BRB5D9;461
BBG000BT7JW9;2432
BBG000BN6KG8;276
BBG00NN875G0;276
BBG000BF4D19;325
BBG000BJ8YN7;2431
BBG0077HPN74;38
BBG00B3T3HD3;2443
BBG000C1DHF5;2432
BBG000GTP1B6;0
BBG000BJKPG0;2432
BBG000BSQLT9;2432
BBG000BK6MB5;2430
BBG000BB6R33;462
BBG000QCQ764;223
BBG00LMYX123;0
BBG0019JZ882;2432
BBG005PG80K4;276
BBG000B9XYV2;2432
BBG000F395V1;2070
BBG00VDGP717;65
BBG000BRBX66;2432
