;figi;ticker;share_name;datetime;last_price;rsi_float;sell_flag;buy_flag;strategy_id;profit;currency
88;BBG000FWGSZ5;IRKT;Корпорация ИРКУТ;2022-06-22 13:59:27.744234;35.62;71.3888;1;0;rsi;0;rub
89;BBG000N16BP3;ISKJ;ИСКЧ;2022-06-22 13:59:27.772234;61.58;29.9957;0;1;rsi;0;rub
90;BBG00ZVC67K7;VTSC@DE;Vitesco Technologies Group AG;2022-06-22 13:59:27.801233;37.2;17.5369;0;1;rsi;0;eur
91;BBG000BC33T9;ARE;Alexandria Real Estate Equities REIT;2022-06-22 13:59:27.846234;131.47;23.3731;0;1;rsi;0;usd
92;BBG005H82GB2;CC;Chemours Company;2022-06-22 13:59:27.866233;31.7;28.8038;0;1;rsi;0;usd
93;BBG009CL6VK3;TASK;TaskUs;2022-06-22 13:59:27.883234;15.27;29.7842;0;1;rsi;0;usd
94;BBG000BNTTY4;MDC;M.D.C. Holdings;2022-06-22 13:59:27.942235;28.35;24.9979;0;1;rsi;0;usd
95;BBG000BG7GX2;SAP@DE;SAP SE;2022-06-22 13:59:28.052233;94.0;24.0879;0;1;rsi;0;eur
96;BBG000CQV2N4;ICUI;ICU Medical Inc;2022-06-22 13:59:28.152232;156.81;22.5948;0;1;rsi;0;usd
97;BBG00VSH86G4;PRG;PROG Holdings;2022-06-22 13:59:28.172232;16.55;21.0254;0;1;rsi;0;usd
98;BBG000C496P7;PARA;Paramount Global;2022-06-22 13:59:28.224233;24.41;28.8397;0;1;rsi;0;usd
99;BBG000R7Z112;DAL;Delta Air Lines;2022-06-22 13:59:28.245232;30.16;29.7222;0;1;rsi;0;usd
100;BBG000WCFV84;LYB;LyondellBasell;2022-06-22 13:59:28.466229;91.25;29.352;0;1;rsi;0;usd
101;BBG000BSXQV7;SHW;Sherwin-Williams;2022-06-22 13:59:28.507231;219.97;28.235;0;1;rsi;0;usd
102;BBG000BCVJ77;BAX;Baxter International;2022-06-22 13:59:28.530229;63.59;22.7693;0;1;rsi;0;usd
103;BBG000BR14K5;CB;Chubb;2022-06-22 13:59:28.554242;188.5;29.1954;0;1;rsi;0;usd
104;BBG000BWVCP8;WMB;The Williams Companies;2022-06-22 13:59:28.594231;30.64;29.9634;0;1;rsi;0;usd
105;BBG000J79P80;SXT;Sensient Technologies Corp;2022-06-22 13:59:28.625231;74.12;26.4697;0;1;rsi;0;usd
106;BBG000PKZDX4;KALU;Kaiser Aluminum Corp;2022-06-22 13:59:28.664229;76.86;29.4311;0;1;rsi;0;usd
107;BBG000L69KL5;TCX;Tucows Inc;2022-06-22 13:59:28.713229;41.0;28.3304;0;1;rsi;0;usd
108;BBG00WCNDCZ6;AAN;The Aarons Company;2022-06-22 13:59:28.731230;15.15;29.9488;0;1;rsi;0;usd
109;BBG006G063F9;INFO;IHS Markit;2022-06-22 13:59:28.754230;108.61;26.3863;0;1;rsi;0;usd
110;BBG010R8C3Y4;GRUB;АДР Just Eat Takeaway.com N.V.;2022-06-22 13:59:28.809231;2.9;26.2269;0;1;rsi;0;usd
111;BBG000BB5B84;LII;Lennox International Inc;2022-06-22 13:59:28.827229;186.83;29.4162;0;1;rsi;0;usd
112;BBG000G7W420;LHCG;LHC Group Inc;2022-06-22 13:59:28.854231;154.43;19.0325;0;1;rsi;0;usd
113;BBG00VPKLPX4;POGR;Petropavlovsk PLC;2022-06-22 13:59:28.962229;3.31;25.5411;0;1;rsi;0;rub
114;BBG000BC3WH8;HOT@DE;Hochtief AG;2022-06-22 13:59:28.987229;57.6;26.013;0;1;rsi;0;eur
115;BBG000P1B7C8;MODV;ModivCare Inc.;2022-06-22 13:59:29.023231;82.84;28.7101;0;1;rsi;0;usd
116;BBG000BNJHS8;LUV;Southwest Airlines;2022-06-22 13:59:29.057229;35.31;25.8527;0;1;rsi;0;usd
117;BBG000BKTXF2;BECN;Beacon Roofing Supply Inc;2022-06-22 13:59:29.077229;49.82;24.2089;0;1;rsi;0;usd
