;figi;ticker;share_name;datetime;last_price;rsi_float;sell_flag;buy_flag;strategy_id;profit;currency
162;BBG0098VVDT9;OLLI;Ollie's Bargain Outlet Holding;2022-06-22 13:59:32.021217;59.97;72.8679;1;0;rsi;0;usd
163;BBG006G412Q6;CCS;Century Communities;2022-06-22 13:59:32.062280;40.41;25.6917;0;1;rsi;0;usd
164;BBG00H433CR2;EVRG;Evergy, Inc;2022-06-22 13:59:32.082218;60.93;26.3992;0;1;rsi;0;usd
165;BBG000DCNK80;RPM;RPM International Inc;2022-06-22 13:59:32.106219;75.42;29.2026;0;1;rsi;0;usd
166;BBG004PYF2N3;POLY;Polymetal;2022-06-22 13:59:32.155218;462.5;25.4678;0;1;rsi;0;rub
167;BBG001VBZR00;SBER@GS;Sberbank of Russia PJSC;2022-06-22 13:59:32.314216;4.1;24.397;0;1;rsi;0;usd
168;BBG000LWVHN8;DASB;Дагестанская энергосбытовая компания;2022-06-22 13:59:32.356215;0.13;28.7958;0;1;rsi;0;rub
169;BBG000BWP7D9;WEC;WEC Energy Group;2022-06-22 13:59:32.446216;91.26;26.6851;0;1;rsi;0;usd
170;BBG000C0HQ54;ENDP;Endo International PLC;2022-06-22 13:59:32.545217;0.36;29.0198;0;1;rsi;0;usd
171;BBG000BBVVK7;BAS@DE;BASF SE;2022-06-22 13:59:32.595218;55.41;19.3341;0;1;rsi;0;eur
172;BBG000NS26Q8;HUN;Huntsman;2022-06-22 15:58:17.564462;28.55;28.4071;0;1;rsi;0;usd
173;BBG00X0VP8D9;GDRX;GoodRx Holdings Inc;2022-06-22 15:58:17.564462;5.77;29.7925;0;1;rsi;0;usd
174;BBG000BNWG87;MDT;Medtronic;2022-06-22 15:58:17.661118;87.57;28.5782;0;1;rsi;0;usd
175;BBG001732GF9;PBA;Pembina Pipeline Corporation;2022-06-22 15:58:17.707993;34.99;28.5118;0;1;rsi;0;usd
176;BBG000C0G1D1;INTC;Intel Corporation;2022-06-22 15:58:17.707993;37.24;29.7374;0;1;rsi;0;usd
177;BBG000HZ3562;APPS;Digital Turbine Inc;2022-06-22 15:58:17.958143;15.1;29.9756;0;1;rsi;0;usd
178;BBG0019K04R5;LIFE;Фармсинтез;2022-06-22 15:58:18.061936;4.27;70.9618;1;0;rsi;0;rub
179;BBG000FJ0RK9;LPL;LG Display;2022-06-22 15:58:18.265893;5.85;29.3131;0;1;rsi;0;usd
180;BBG00YDGX945;GXO;GXO Logistics, Inc.;2022-06-22 15:58:18.915732;43.66;29.5591;0;1;rsi;0;usd
181;BBG00GBVBK51;BKR;Baker Hughes;2022-06-22 15:58:19.150158;29.29;29.5489;0;1;rsi;0;usd
182;BBG00HFWVGN0;MFGP;Micro Focus;2022-06-22 15:58:20.136108;3.57;29.6245;0;1;rsi;0;usd
183;BBG000DQTXY6;DHI;D.R. Horton;2022-06-22 15:58:20.292366;60.25;29.451;0;1;rsi;0;usd
184;BBG000BXMFC3;URI;United Rentals;2022-06-22 15:58:21.315354;236.99;29.0995;0;1;rsi;0;usd
185;BBG009DTD8H2;UA;Under Armour (C);2022-06-22 15:58:21.377858;7.95;29.7201;0;1;rsi;0;usd
186;BBG000BRNLL2;ALGN;Align Technology;2022-06-22 15:58:21.455980;226.0;29.2842;0;1;rsi;0;usd
187;BBG000D8RG11;NRG;NRG Energy;2022-06-22 15:58:22.390165;36.6;28.3847;0;1;rsi;0;usd
188;BBG000BJDB15;FCX;Freeport-McMoRan;2022-06-22 15:58:22.875366;32.13;29.9488;0;1;rsi;0;usd
189;BBG000BH4R78;DIS;Walt Disney;2022-06-22 16:00:16.539077;92.11;29.9399;0;1;rsi;0;usd
190;BBG004S681W1;MTSS;МТС;2022-06-22 16:05:12.395842;275.5;70.1333;1;0;rsi;0;rub
191;BBG00W7FG4V8;ASTR;Astra Space;2022-06-22 16:46:08.862650;1.59;29.9542;0;1;rsi;0;usd
192;BBG000JLC8L8;SSD;Simpson Manufacturing Co Inc;2022-06-22 16:46:09.034482;89.64;29.3655;0;1;rsi;0;usd
193;BBG000BGD7W6;MAR;Marriott International;2022-06-22 16:46:09.284494;137.43;29.944;0;1;rsi;0;usd
194;BBG000FX3Y66;PGTI;PGT Innovations Inc;2022-06-22 16:46:09.581366;15.63;28.0253;0;1;rsi;0;usd
195;BBG000BHQJX3;RCII;Rent-A-Center;2022-06-22 16:46:09.940708;19.8;29.5667;0;1;rsi;0;usd
196;BBG000B9XG87;AME;AMETEK;2022-06-22 16:46:10.112570;107.49;29.0933;0;1;rsi;0;usd
197;BBG0035M2ZB7;NWS;News Corp;2022-06-22 16:46:10.143815;15.24;28.6727;0;1;rsi;0;usd
198;BBG000BL0T06;UFPI;UUFP Industries, Inc;2022-06-22 16:46:10.175033;65.19;29.1625;0;1;rsi;0;usd
199;BBG000BRXTR8;RRX;Regal Rexnord;2022-06-22 16:46:10.253188;109.67;28.9715;0;1;rsi;0;usd
200;BBG000BJZ7V7;FUL;HB Fuller Co;2022-06-22 16:46:10.284433;60.16;29.6009;0;1;rsi;0;usd
201;BBG006F8QZK4;VSTO;Vista Outdoor;2022-06-22 16:46:10.706293;30.4;28.8333;0;1;rsi;0;usd
202;BBG000DJN7L9;WSO;Watsco Inc;2022-06-22 16:46:10.987503;226.7;28.8514;0;1;rsi;0;usd
203;BBG000BKD3K9;BLDR;Builders FirstSource Inc;2022-06-22 16:46:11.378078;49.43;29.0407;0;1;rsi;0;usd
204;BBG0027F0Y27;CNTLP;Центральный Телеграф - акции привилегированные;2022-06-22 16:46:11.471856;10.44;70.3038;1;0;rsi;0;rub
205;BBG00LN4B5N0;NVST;Envista Holdings;2022-06-22 16:46:11.909294;35.75;29.8941;0;1;rsi;0;usd
206;BBG000BR3KL6;PH;Parker-Hannifin;2022-06-22 16:46:12.362389;239.24;29.3656;0;1;rsi;0;usd
207;BBG000BJW241;EXP;Eagle Materials Inc;2022-06-22 16:46:12.440538;107.45;29.832;0;1;rsi;0;usd
208;BBG000BWGYF8;VMC;Vulcan Materials;2022-06-22 16:46:12.518630;142.25;28.5006;0;1;rsi;0;usd
209;BBG001B4BV87;FBHS;Fortune Brands Home & Security;2022-06-22 16:46:12.846759;57.82;29.5;0;1;rsi;0;usd
210;BBG005XZHR97;VRTV;Veritiv Corp;2022-06-22 16:46:13.534186;110.4;29.7324;0;1;rsi;0;usd
