figi;ticker;class_code;isin;lot;currency;klong;kshort;dlong;dshort;dlong_min;dshort_min;short_enabled_flag;name;exchange;ipo_date;issue_size;country_of_risk;country_of_risk_name;sector;issue_size_plan;nominal;trading_status;otc_flag;buy_available_flag;sell_available_flag;div_yield_flag;share_type;min_price_increment;api_trade_available_flag;uid;real_exchange
BBG000BLHRS2;HSY;SPBXM;US4278661081;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};False;Hershey;SPB;1927-12-01 00:00:00+00:00;145425767;US;Соединенные Штаты Америки;consumer;900000000;{'currency': 'usd', 'units': 1, 'nano': 0};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;2f43fc8c-967b-4841-8ae3-25f950bd022c;2
BBG000BMXK89;NCR;SPBXM;US62886E1082;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;NCR Corp;SPB;1970-01-01 00:00:00+00:00;169500000;US;Соединенные Штаты Америки;it;500000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;fb6d2fa0-f005-4a4a-9050-c333b30163cf;2
BBG017TGV7M2;QDEL;SPBXM;US2197981051;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 555400000};{'units': 0, 'nano': 725500000};{'units': 0, 'nano': 333200000};{'units': 0, 'nano': 313600000};False;QuidelOrtho Corp;SPB;1970-01-01 00:00:00+00:00;66871000;US;Соединенные Штаты Америки;health_care;200000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;0c26e224-0871-4880-b4d9-c0ae1888a7ff;2
BBG000BJPDZ1;ISRG;SPBXM;US46120E6023;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};False;Intuitive Surgical;SPB;2000-06-13 00:00:00+00:00;357236861;US;Соединенные Штаты Америки;health_care;600000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;cd769ec0-5d9d-4092-a387-7d73fa6fa705;2
BBG00B6W26V8;MIME;SPBXM;GB00BYT5JK65;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Mimecast Limited;SPB;1970-01-01 00:00:00+00:00;64382729;;;it;300000000;{'currency': 'usd', 'units': 0, 'nano': 12000000};1;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;3b5cb2ea-20ed-4c54-ba78-01a0cd7c7e54;2
BBG000G7QX50;PINC;SPBXM;US74051N1028;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Premier Inc;SPB;2013-09-26 00:00:00+00:00;61826774;US;Соединенные Штаты Америки;health_care;500000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;a182d807-63fb-44e8-b68c-a3e9b853439a;2
BBG000QTF8K1;DXCM;SPBXM;US2521311074;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};True;DexCom Inc;SPB;1970-01-01 00:00:00+00:00;392503732;US;Соединенные Штаты Америки;health_care;800000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;3bc178bd-f5ca-494e-a620-c66c09927e08;2
BBG00CVQZQ96;ITT;SPBXM;US45073V1089;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;ITT;SPB;1970-01-01 00:00:00+00:00;87800000;US;Соединенные Штаты Америки;industrials;250000000;{'currency': 'usd', 'units': 1, 'nano': 0};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;5b9c80f6-37b9-43d6-9569-8fc24b6cc96a;2
BBG000DVB833;GVA;SPBXM;US3873281071;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Granite Construction Inc;SPB;1970-01-01 00:00:00+00:00;46897218;US;Соединенные Штаты Америки;industrials;150000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;de34184c-ad4e-4c60-b6ab-8573867eb9c9;2
BBG00M1CKSK7;SWI;SPBXM;US83417Q2049;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;SolarWinds Corp;SPB;2018-10-19 00:00:00+00:00;157865646;US;Соединенные Штаты Америки;it;1000000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;7346963b-7d7a-4dc9-b804-231ffeda27cd;2
